Source_Name,RAJ2000,DEJ2000,CLASS1,ASSOC1,Flags
4FGL J0429.0-0006,67.2549,-0.1006,bcu,TXS 0426-002,4096
4FGL J0534.5+2201i,83.633,22.02,PWN,Crab Nebula,2048
4FGL J0850.4-2558,132.6184,-25.9744,,,4096
4FGL J1039.7-1540,159.9289,-15.6697,fsrq,PKS B1036-154,4096
4FGL J1202.9-5717,180.7442,-57.296,,,4120
4FGL J1209.9-5923,182.4829,-59.3919,,,4376
4FGL J1320.5-6256c,200.1376,-62.945,,,4128
4FGL J1622.8-4454,245.7169,-44.9151,,,4112
4FGL J1758.3-1920,269.5962,-19.3434,,,4120
4FGL J1838.0-0516,279.5128,-5.277,,,4120
4FGL J1841.3-4442,280.3387,-44.7001,,,4096
4FGL J2048.4-2517,312.1049,-25.2923,,,4112
4FGL J2106.9+2455,316.7417,24.9327,bcu,MG3 J210642+2501,4096
4FGL J2325.9+6206c,351.4969,62.1049,bcu,NVSS J232543+620829,4144
