Name,Mean,SD,Minimum,Maximum,nGood
GLON,179.18657,101.54916,0.0940386,359.99216,3441
GLAT,2.037216,40.96397,-87.68009,87.57076,3441
ln(Flux1000),-21.550373,1.1985891,-25.454103263001745,-13.514912061770598,3441
PL_Index,2.223987,0.29637602,1.3983103,3.491065,3441
Unc_LP_Index,0.15891409,0.12725806,0.0012975616,2.9318116,3441
LP_beta,0.15048967,0.19329433,-0.16824844,0.999999,3441
LP_SigCurv,2.7654338,6.659655,0.0,207.65854,3441
hr12,0.058695696,0.7433141,-1.0,1.0,3441
hr23,-0.26852247,0.6057116,-1.0,1.0,3441
Unc_PLEC_Expfactor,0.0020799064,0.0028319957,2.5717238E-5,0.050095897,3441
hr34,-0.52044964,0.35669652,-1.0,1.0,3441
hr45,-0.53414786,0.26397362,-1.0,1.0,3441
hr56,-0.65188175,0.28485423,-1.0,0.9999998,3441
hr67,-0.5649992,0.517395,-1.0,1.0,3441
ln(Variability_Index),2.8851316,1.4421216,-1.0806428581508747,10.83772095695959,3441
ln(Pivot_Energy),7.448056,0.78029335,4.926163308303671,10.130593722297178,3441
