Source_Name,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD
3FGL J0121.8-3917,0.9997411297577551,0.0006062176540718612,0.0002588702422448391,0.0006062176540718604,0.9811842496986442,0.05280197331272146,0.018815750301355728,0.05280197331272146,0.9378959243318575,0.032357844371394176,0.06210407566814259,0.03235784437139417,0.9999999981088202,1.1538154719573798e-08,1.8911798172703914e-09,1.1538154721334621e-08
3FGL J0534.5+2201i,0.9425044368279153,0.1040600406538788,0.0574955631720848,0.1040600406538788,0.020558186151227866,0.10388023646646126,0.9794418138487722,0.10388023646646125,0.9148838212715329,0.0437615185266534,0.0851161787284671,0.04376151852665341,0.002,0.044676615807377355,0.998,0.044676615807377355
3FGL J0833.1-4511e,0.8977962878732684,0.1646662599131688,0.10220371212673167,0.1646662599131688,0.023464623500936973,0.10938135375092398,0.976535376499063,0.10938135375092398,0.8536179184696729,0.05348132930288649,0.146382081530327,0.053481329302886495,0.002,0.044676615807377355,0.998,0.044676615807377355
3FGL J0937.7+5008,0.9991269953022123,0.0015200633732277429,0.000873004697787688,0.0015200633732277429,0.9822615607777313,0.04439278417587745,0.017738439222268684,0.04439278417587745,0.9566796370465609,0.029123494277396085,0.04332036295343913,0.029123494277396078,0.9999999965902433,2.0439819370414722e-08,3.409756714532763e-09,2.0439819372071473e-08
3FGL J1031.0+7440,0.9994090176801851,0.0011013317703160539,0.0005909823198149035,0.0011013317703160539,0.9809273146160047,0.04491864906424812,0.01907268538399534,0.04491864906424812,0.9604112737039879,0.027028124387938043,0.03958872629601207,0.027028124387938047,0.9999999960706019,2.2059776385157827e-08,3.929398056627762e-09,2.2059776386988123e-08
3FGL J1159.6-0723,0.9905981963956622,0.022399439670611802,0.009401803604337967,0.022399439670611802,0.9810457583240875,0.04226460620945468,0.018954241675912562,0.04226460620945468,0.9311485877145858,0.033252702956849935,0.06885141228541422,0.033252702956849935,0.9999999964115547,2.7912229394105603e-08,3.5884453795164013e-09,2.7912229393274098e-08
3FGL J1513.9-5908,0.513434010563578,0.2859115916956825,0.4865659894364221,0.2859115916956825,0.947344782832688,0.09853514398201851,0.052655217167311905,0.09853514398201851,0.6888535444379114,0.0879310792449189,0.3111464555620887,0.0879310792449189,0.999999999930344,3.420207158587125e-10,6.965585052639677e-11,3.4202071722916423e-10
3FGL J1514.0-5915e,0.912112547659964,0.14178589667036243,0.08788745234003602,0.14178589667036243,0.02523473919526824,0.11273623728554784,0.9747652608047317,0.11273623728554784,0.9148921028651653,0.044383655055186676,0.08510789713483478,0.04438365505518668,0.002,0.044676615807377355,0.998,0.044676615807377355
3FGL J1655.1-3954,0.9967403526904939,0.011279506838610344,0.003259647309506162,0.011279506838610343,0.9531023090277884,0.08893668743224337,0.04689769097221164,0.08893668743224337,0.9064329876452349,0.05708890604107127,0.09356701235476511,0.05708890604107129,0.9999999943106438,3.20193154982778e-08,5.689356138844269e-09,3.20193155002054e-08
3FGL J1832.4-5659,0.8882217417174991,0.14047314913099765,0.11177825828250101,0.14047314913099765,0.9624539028687078,0.07902008941817931,0.03754609713129217,0.07902008941817931,0.8634980895956972,0.05033726050523295,0.13650191040430287,0.050337260505232954,0.9999999870053733,7.31211580213665e-08,1.2994626635183317e-08,7.312115802219888e-08
3FGL J2021.0+4031e,0.9540564540393841,0.08600177705047618,0.04594354596061586,0.0860017770504762,0.02158790409500895,0.1055210241651527,0.978412095904991,0.1055210241651527,0.8988858881585938,0.05077248118896404,0.10111411184140619,0.05077248118896403,0.002,0.044676615807377355,0.998,0.044676615807377355
3FGL J2028.6+4110e,0.9603379746273003,0.08338430180894063,0.039662025372699694,0.08338430180894063,0.023118900469726613,0.11176508900348558,0.9768810995302735,0.1117650890034856,0.9016276347585206,0.04526934304320393,0.09837236524147938,0.04526934304320392,0.002,0.044676615807377355,0.998,0.044676615807377355
3FGL J2358.3-2853,0.9992240599709562,0.002301402853793761,0.000775940029043789,0.002301402853793762,0.9858864580357662,0.032320335726216266,0.01411354196423368,0.032320335726216266,0.9436894033239323,0.03270702237004417,0.05631059667606782,0.032707022370044185,0.999999998582185,5.7629522298757815e-09,1.4178148492723993e-09,5.762952230568683e-09
