Source_Name_1,GLON,GLAT,Pivot_Energy,Energy_Flux100,Unc_Energy_Flux100,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,Variability_Index,ASSOC_FGL,CLASS1_2,CLASS2,ASSOC1_2,Flags_2,HR12,HR23,HR34,HR45,HR56,HR67
4FGL J0429.0-0006,194.94923,-31.261189,737.8187,1.7783456E-12,6.0739293E-13,,,,0.0,36.708904,,bcu,,TXS 0426-002,4096,0.9517862,-0.79777056,-0.62469757,-0.9434373,-0.9998134,-0.99385744
4FGL J0534.5+2201i,184.55273,-5.781481,10000.0,4.0917247E-10,,1.75,,0.08,0.0,,3FGL J0534.5+2201i,PWN,,Crab Nebula,2048,0.21169086,-0.063939564,-0.2535099,-0.19412395,-0.47232622,-0.16702877
4FGL J0850.4-2558,250.1726,11.386075,1799.4995,1.4466305E-12,5.030292E-13,,,,0.0,4.9420004,,,agn,,4096,-0.5803994,-0.89585215,-0.7137,-0.3451444,-0.89210737,-0.9945814
4FGL J1039.7-1540,262.24796,36.589237,441.33716,1.7234924E-12,4.8472955E-13,2.725937,0.30862957,0.16743669,1.0632114,17.204582,,fsrq,,PKS B1036-154,4096,0.93399197,-0.87981266,-0.6180715,-0.99286044,-0.9992189,0.940622
4FGL J1202.9-5717,296.39612,4.9595027,2528.0303,2.082596E-12,8.563407E-13,,,,0.0,9.915544,,,,,4120,-0.7206933,0.99068224,-0.3837773,-0.71598953,-0.99998635,0.5528617
4FGL J1209.9-5923,297.66248,3.0545275,2007.472,3.2672758E-12,1.4831008E-12,,,,0.0,4.689562,,,,,4376,-0.97414213,0.99868035,-0.6067614,-0.96333927,-0.9992077,-0.80988586
4FGL J1320.5-6256c,306.23532,-0.26012644,5845.8057,4.9952533E-12,2.3824276E-12,2.4403114,0.39393577,0.2800456,0.0,11.076153,1FGL J1320.6-6258c,,,,4128,0.68963665,-0.9999594,0.99864185,-0.43556812,-0.57650346,-0.8886766
4FGL J1622.8-4454,337.36658,3.3590698,2154.6846,3.9800606E-12,1.4120396E-12,2.3073523,0.32477528,0.251678,1.9068197,6.908319,,,,,4112,-0.9666059,0.9998677,-0.8642114,-0.47332665,-0.96698165,0.1368157
4FGL J1758.3-1920,9.738242,2.3856268,5011.8804,5.055493E-12,2.3014943E-12,2.787499,0.45743254,0.18912253,1.680191,6.6036477,,,,,4120,-0.90796846,0.99667776,-0.6951436,-0.718184,-0.75774604,-0.9999877
4FGL J1838.0-0516,26.710873,0.56137925,1875.8743,1.6910095E-11,5.4468656E-12,2.7749453,1.5789331,0.35731626,2.7667444,7.667381,,,,,4120,-0.77909404,0.94440025,-0.6246353,-0.81516105,-0.99995166,-0.42249325
4FGL J1841.3-4442,350.8926,-17.032507,2174.781,1.3637384E-12,4.268617E-13,2.2108035,0.24400619,0.05764963,0.49135882,9.53561,,,,,4096,0.828783,0.98025995,-0.512856,-0.7117736,-0.70611274,-0.16997553
4FGL J2048.4-2517,20.160492,-36.010777,2595.242,1.0130887E-12,3.9940067E-13,,,,0.0,5.955605,,,,,4112,0.22142668,-0.959945,0.1334613,-0.8255121,-0.26406127,-0.9999701
4FGL J2106.9+2455,71.751,-14.9333725,624.9574,2.0407168E-12,5.665397E-13,,,,0.0,25.364367,3FGL J2106.1+2505,bcu,,MG3 J210642+2501,4096,0.9999999,-0.57000476,-0.8308037,-0.80098593,-0.9995902,0.08932301
4FGL J2325.9+6206c,113.11826,0.8723348,900.29254,6.6528063E-12,1.9358324E-12,2.8286552,0.33782464,0.13757597,1.4313844,8.882448,,bcu,,NVSS J232543+620829,4144,0.7341043,0.95130736,-0.87786597,-0.65649,-0.99886745,-0.9995662
